DNASE2B	1	84398483	84415018
RPF1	1	84479265	84498352
GNG5	1	84498324	84506581
SPATA1	1	84506385	84556495
CTBS	1	84549610	84574440
SSX2IP	1	84643705	84690468
LPAR3	1	84811601	84893206
MCOLN2	1	84925582	84997113
MCOLN3	1	85018081	85048540
SYDE2	1	85156891	85201016
BCL10	1	85265775	85276632
DDAH1	1	85318484	85578200
ZNHIT6	1	85649416	85708433
COL24A1	1	85729232	86156984
ODF2L	1	86346823	86396342
CLCA2	1	86424170	86456553
CLCA1	1	86468926	86500259
SH3GLB1	1	86704569	86748184
SELENOF	1	86862444	86914577
HS2ST1	1	86914634	87109982
LINC01140	1	87129764	87169203
LMO4	1	87328879	87348923
PKN2	1	88684143	88836255
GTF2B	1	88852632	88891567
KYAT3	1	88921043	88992960
RBMXL1	1	88979455	88992960
GBP3	1	89006676	89022866
GBP1	1	89052320	89065208
